timestamp_utc,packet_index,mode,selected_icao,status,icao_result,encrypt_or_select_ms,packet_build_ms,send_ms,total_packet_ms,packet_hex
2026-04-18T09:53:21.109Z,103,u,45AB3C,PLAIN,45AB3C,0.004815,0.059504,0.108848,0.202894,8A45AB3CBA78FC9853DA50E1D1CA
2026-04-18T09:53:21.210Z,104,u,A58B4D,PLAIN,A58B4D,0.003969,0.052308,0.082786,0.165630,89A58B4DD06E8E7BF67A756186B5
2026-04-18T09:53:21.310Z,105,u,7C1D2E,PLAIN,7C1D2E,0.004355,0.051995,0.119167,0.202161,8D7C1D2E0BD47484552A92EDE643
2026-04-18T09:53:21.411Z,106,u,C0FFEE,PLAIN,C0FFEE,0.004198,0.049865,0.087008,0.168770,8BC0FFEEE6B495C9A8F9D30022A7
2026-04-18T09:53:21.511Z,107,u,7C1D2E,PLAIN,7C1D2E,0.004468,0.080023,0.089835,0.201045,8D7C1D2E176C24894D72BC3AEE46
2026-04-18T09:53:21.612Z,108,u,45AB3C,PLAIN,45AB3C,0.004063,0.051529,0.084970,0.167854,8845AB3CAA240A2C9E108E191F94
2026-04-18T09:53:21.712Z,109,u,7C1D2E,PLAIN,7C1D2E,0.003989,0.052209,0.085439,0.177021,897C1D2E19FEFBA81988F4DF48C4
2026-04-18T09:53:21.813Z,110,u,C0FFEE,PLAIN,C0FFEE,0.003942,0.075289,0.087276,0.193392,8BC0FFEEF031A21C52E262626BF1
2026-04-18T09:53:21.913Z,111,u,A1B2C3,PLAIN,A1B2C3,0.004250,0.084578,0.095440,0.213255,8FA1B2C35D7BCBA9FBEDE05528AC
2026-04-18T09:53:22.014Z,112,u,7C1D2E,PLAIN,7C1D2E,0.004076,0.052430,0.088892,0.196012,887C1D2EF0E978AD7EA3FBDB22E8
2026-04-18T09:53:22.114Z,113,u,7C1D2E,PLAIN,7C1D2E,0.004743,0.055997,0.103974,0.195417,8F7C1D2E24F25673D707BCD05B14
2026-04-18T09:53:22.215Z,114,u,7C1D2E,PLAIN,7C1D2E,0.004371,0.052151,0.088722,0.194348,887C1D2ED88BA3AB3FE22B692994
2026-04-18T09:53:22.315Z,115,u,A1B2C3,PLAIN,A1B2C3,0.004779,0.056506,0.122319,0.221295,8FA1B2C3CAF52514ADC444D0E61A
2026-04-18T09:53:22.416Z,116,u,45AB3C,PLAIN,45AB3C,0.003984,0.053836,0.095943,0.182406,8F45AB3C56827E1C8BF08A5D767F
2026-04-18T09:53:22.516Z,117,u,A1B2C3,PLAIN,A1B2C3,0.003927,0.051282,0.088861,0.171419,88A1B2C3C6C4655B6D16B38D6A95
2026-04-18T09:53:22.617Z,118,u,C0FFEE,PLAIN,C0FFEE,0.004122,0.055664,0.104099,0.194538,8AC0FFEE2B9D7FE623D68020BC2F
2026-04-18T09:53:22.717Z,119,u,7C1D2E,PLAIN,7C1D2E,0.031298,0.052594,0.086720,0.197693,8D7C1D2EFEFE45E0E53514FA7EB2
2026-04-18T09:53:22.818Z,120,u,C0FFEE,PLAIN,C0FFEE,0.004448,0.051419,0.085851,0.169846,8FC0FFEE89B063A8FE2689EB1D5E
2026-04-18T09:53:22.918Z,121,u,45AB3C,PLAIN,45AB3C,0.004317,0.064165,0.091723,0.196748,8E45AB3C7A53547322D5621AB908
2026-04-18T09:53:23.019Z,122,u,A1B2C3,PLAIN,A1B2C3,0.004506,0.086118,0.101090,0.228088,88A1B2C380C1E2FE9D32E36AC736
2026-04-18T09:53:23.119Z,123,u,45AB3C,PLAIN,45AB3C,0.004074,0.052861,0.095844,0.179963,8D45AB3C95CD32F9BC93421E3676
2026-04-18T09:53:23.220Z,124,u,A1B2C3,PLAIN,A1B2C3,0.004364,0.051707,0.114983,0.197792,8DA1B2C355C17D9AAFD32CA6E2FC
2026-04-18T09:53:23.320Z,125,u,A58B4D,PLAIN,A58B4D,0.003828,0.052058,0.108193,0.199852,8CA58B4DA84524464612FDA33D38
2026-04-18T09:53:23.421Z,126,u,45AB3C,PLAIN,45AB3C,0.004922,0.065741,0.118690,0.228681,8945AB3C4A4BE68F8A65AE87C9F0
2026-04-18T09:53:23.521Z,127,u,C0FFEE,PLAIN,C0FFEE,0.004150,0.074533,0.114843,0.222021,8BC0FFEEDFD3370F06FF2C2B2FF2
2026-04-18T09:53:23.622Z,128,u,A58B4D,PLAIN,A58B4D,0.004712,0.055738,0.109959,0.210036,8CA58B4DF5DA899A6E5B1712723D
2026-04-18T09:53:23.722Z,129,u,C0FFEE,PLAIN,C0FFEE,0.004433,0.051361,0.077205,0.170064,8EC0FFEE9B32698C0B011C14F1CD
2026-04-18T09:53:23.822Z,130,u,7C1D2E,PLAIN,7C1D2E,0.003887,0.050865,0.106760,0.188299,8C7C1D2E2702B5C9674ABAC83A27
2026-04-18T09:53:23.923Z,131,u,45AB3C,PLAIN,45AB3C,0.004028,0.049614,0.071860,0.161361,8A45AB3C60150965E51087ED0FC3
2026-04-18T09:53:24.023Z,132,u,A58B4D,PLAIN,A58B4D,0.004251,0.069336,0.088621,0.189883,8BA58B4DB4C7EC6F89BC76A15E6E
2026-04-18T09:53:24.124Z,133,u,45AB3C,PLAIN,45AB3C,0.004377,0.050849,0.086653,0.178293,8F45AB3CABBDCA27D13503D40311
2026-04-18T09:53:24.224Z,134,u,C0FFEE,PLAIN,C0FFEE,0.003942,0.081064,0.089297,0.201454,8DC0FFEEBE56E818CC93FE5C75FC
2026-04-18T09:53:24.325Z,135,u,C0FFEE,PLAIN,C0FFEE,0.004088,0.051655,0.086946,0.172109,8EC0FFEEAF27846E301237A0AA3F
2026-04-18T09:53:24.425Z,136,u,A1B2C3,PLAIN,A1B2C3,0.004036,0.054213,0.097837,0.183968,8BA1B2C3DB0BA514EACFC944CA02
2026-04-18T09:53:24.526Z,137,u,A1B2C3,PLAIN,A1B2C3,0.004237,0.053367,0.086948,0.172965,8EA1B2C332014BCDCC16628C1BEF
2026-04-18T09:53:24.626Z,138,u,A58B4D,PLAIN,A58B4D,0.004823,0.057960,0.090806,0.184290,8FA58B4DFC44769D6004DC9F23FA
2026-04-18T09:53:24.727Z,139,u,A1B2C3,PLAIN,A1B2C3,0.004026,0.074070,0.113481,0.219395,8CA1B2C3C501E45C81CCCE4B9FA6
2026-04-18T09:53:24.827Z,140,u,45AB3C,PLAIN,45AB3C,0.004858,0.104067,0.116451,0.259319,8845AB3C532AEB6028033911BC4E
2026-04-18T09:53:24.928Z,141,u,7C1D2E,PLAIN,7C1D2E,0.005253,0.108456,0.116852,0.266429,897C1D2EAAADBB6B9F2B4BDDE3BC
2026-04-18T09:53:25.028Z,142,u,C0FFEE,PLAIN,C0FFEE,0.003858,0.050675,0.085640,0.167262,89C0FFEE301B9EC0C149775054F8
2026-04-18T09:53:25.129Z,143,u,A58B4D,PLAIN,A58B4D,0.005446,0.056064,0.091624,0.237520,8FA58B4D6114EB99E528B5884E81
2026-04-18T09:53:25.229Z,144,u,A1B2C3,PLAIN,A1B2C3,0.004085,0.052101,0.077185,0.167761,8DA1B2C396D07B2353B119D52470
2026-04-18T09:53:25.330Z,145,u,45AB3C,PLAIN,45AB3C,0.004323,0.055656,0.116294,0.207285,8D45AB3C90997593E50B07F7CD5F
2026-04-18T09:53:25.430Z,146,u,C0FFEE,PLAIN,C0FFEE,0.004495,0.051064,0.074940,0.166092,8AC0FFEED0AE990B2045D8D56931
2026-04-18T09:53:25.530Z,147,u,45AB3C,PLAIN,45AB3C,0.004394,0.052541,0.088064,0.182753,8B45AB3C6CEEBC0E4C5C86590533
2026-04-18T09:53:25.631Z,148,u,A1B2C3,PLAIN,A1B2C3,0.003991,0.053006,0.087199,0.180219,8DA1B2C366AB340ABEA4CA4BBCE0
2026-04-18T09:53:25.731Z,149,u,A58B4D,PLAIN,A58B4D,0.003901,0.052694,0.086977,0.171098,8DA58B4D57E924B220E5CFFAF9D2
2026-04-18T09:53:25.832Z,150,u,A1B2C3,PLAIN,A1B2C3,0.004186,0.052465,0.107622,0.208819,8DA1B2C3FB7F731552139C1E509D
2026-04-18T09:53:25.932Z,151,u,A1B2C3,PLAIN,A1B2C3,0.003863,0.060239,0.084971,0.175550,8FA1B2C3D2C44DEF201EC01F9BF1
2026-04-18T09:53:26.033Z,152,u,A1B2C3,PLAIN,A1B2C3,0.004181,0.051673,0.105598,0.196673,8BA1B2C344CDAE0F7F0E4BCDACBB
2026-04-18T09:53:26.133Z,153,u,7C1D2E,PLAIN,7C1D2E,0.004062,0.052767,0.085485,0.177704,8C7C1D2E8AFA08DD44E8F1B90857
2026-04-18T09:53:26.233Z,154,u,A1B2C3,PLAIN,A1B2C3,0.003981,0.052663,0.087482,0.179571,8EA1B2C37C56FC6C140580712F90
2026-04-18T09:53:26.334Z,155,u,A1B2C3,PLAIN,A1B2C3,0.004114,0.051855,0.085637,0.179871,8AA1B2C3D954CA6DC795C0BD25F4
2026-04-18T09:53:26.434Z,156,u,A1B2C3,PLAIN,A1B2C3,0.004296,0.056970,0.109996,0.201382,8AA1B2C32320D8DC1D510A719663
2026-04-18T09:53:26.535Z,157,u,C0FFEE,PLAIN,C0FFEE,0.004360,0.053710,0.099538,0.195040,8EC0FFEE4EB0ABBF0A7F61461537
2026-04-18T09:53:26.635Z,158,u,A58B4D,PLAIN,A58B4D,0.004161,0.075671,0.091185,0.234937,8CA58B4DE01AC06F931BC74C8E43
2026-04-18T09:53:26.736Z,159,u,A1B2C3,PLAIN,A1B2C3,0.004320,0.053666,0.095553,0.180174,8AA1B2C30F48691B0453B294EB03
2026-04-18T09:53:26.836Z,160,u,45AB3C,PLAIN,45AB3C,0.004654,0.070243,0.090429,0.202500,8845AB3C1F28E9298E3032BCE8A8
2026-04-18T09:53:26.937Z,161,u,A58B4D,PLAIN,A58B4D,0.003807,0.051006,0.107896,0.189418,88A58B4D5EF3800655C9272F4372
2026-04-18T09:53:27.037Z,162,u,A58B4D,PLAIN,A58B4D,0.003946,0.061771,0.086581,0.179274,8DA58B4D4FE4363627594D4D4851
2026-04-18T09:53:27.138Z,163,u,A58B4D,PLAIN,A58B4D,0.013412,0.052494,0.108393,0.201529,88A58B4D8C5E519ECB6F5030EF53
2026-04-18T09:53:27.238Z,164,u,A58B4D,PLAIN,A58B4D,0.003998,0.051629,0.121955,0.204797,8FA58B4D4D38D734D9B9594860E0
2026-04-18T09:53:27.339Z,165,u,A58B4D,PLAIN,A58B4D,0.004713,0.056015,0.091133,0.188697,8DA58B4D57EFA1C89903A0A203E0
2026-04-18T09:53:27.439Z,166,u,A58B4D,PLAIN,A58B4D,0.003868,0.051411,0.100496,0.182438,8BA58B4DA03FF83B074816724529
